date,india_close,us_close,usdinr,fair_value,premium
2022-09-29,1398.7,16.9,81.54,17.15354427274957,-0.014780867948809728
2022-09-30,1413.5,16.97,81.37,17.37126705173897,-0.023099469402193096
2022-10-03,1393.8,17.05,81.56,17.089259440902403,-0.0022973166881904428
2022-10-04,1429.4,17.7,81.45,17.549416820135054,0.008580523296487952
2022-10-06,1455.2,17.48,82.06,17.733365829880576,-0.014287520615722915
2022-10-07,1451.2,17.06,82.32,17.6287657920311,-0.032263506063947234
2022-10-10,1462.7,17.56,82.32,17.768464528668613,-0.011732275928078462
2022-10-11,1423.8,17.13,82.22,17.316954512284116,-0.010796038769490202
2022-10-12,1428.7,17.1,82.25,17.370212765957447,-0.015556099951004376
2022-10-13,1419.9,18.05,82.28,17.256927564414195,0.045956757518135216
2022-10-14,1474.3,17.81,82.28,17.918084589207584,-0.006032150851251528
2022-10-17,1490.0,18.16,82.16,18.13534566699124,0.0013594630872482139
2022-10-18,1503.7,18.07,82.29,18.273180216308177,-0.011119039702068179
2022-10-19,1485.5,17.83,82.95,17.908378541289935,-0.004376640861662895
2022-10-20,1500.9,17.89,82.66,18.157512702637312,-0.014732893597175112
2022-10-21,1500.5,18.3,82.58,18.170259142649552,0.007140286571142962
2022-10-24,1517.9,18.44,82.68,18.358732462506048,0.004426642071282849
2022-10-25,1526.3,18.62,82.44,18.51407083939835,0.00572154884360887
2022-10-27,1524.0,18.51,82.36,18.50412821758135,0.0003173228346458057
2022-10-28,1513.3,18.79,82.33,18.380906109559092,0.022256459393378725
2022-10-31,1537.7,18.73,82.73,18.586969660340866,0.007695194121090099
2022-11-01,1573.0,18.91,82.62,19.03897361413701,-0.006774189446916545
2022-11-02,1553.3,18.41,82.72,18.777804642166345,-0.01958720144209103
2022-11-03,1530.8,18.19,82.76,18.49685838569357,-0.016589756989809135
2022-11-04,1514.0,18.33,82.03,18.456662196757282,-0.006862681638044932
2022-11-07,1507.5,18.58,81.95,18.395363026235508,0.010037147595356455
2022-11-09,1511.2,18.48,81.25,18.599384615384615,-0.006418740074113249
2022-11-10,1502.0,19.2,80.72,18.60753221010902,0.03184021304926743
2022-11-11,1570.1,19.75,80.72,19.451189296333002,0.015362078848480953
2022-11-14,1585.3,19.55,80.98,19.576438626821435,-0.0013505330221407208
2022-11-15,1594.0,19.76,80.94,19.69360019767729,0.00337164366373921
2022-11-16,1602.8,19.69,81.46,19.675914559292906,0.0007158722236086934
2022-11-17,1587.4,19.48,81.69,19.431999020687968,0.002470202847423497
2022-11-18,1593.4,19.47,81.76,19.488747553816047,-0.0009619681184888096
2022-11-21,1568.2,19.3,81.68,19.199314397649363,0.005244229052416838
2022-11-22,1585.1,19.37,81.69,19.403843799730687,-0.0017441801779065624
2022-11-23,1583.2,19.53,81.71,19.37584139028271,0.00795622789287509
2022-11-25,1635.7,19.92,81.73,20.013458950201883,-0.004669804976462522
2022-11-28,1623.4,19.63,81.61,19.892170077196422,-0.013179561414315644
2022-11-29,1629.1,19.71,81.61,19.962014459012376,-0.012624700755018092
2022-11-30,1635.0,20.35,81.43,20.078595112366447,0.01351712538226324
2022-12-01,1657.1,20.51,81.17,20.41517802143649,0.004644680465874407
2022-12-02,1637.9,20.19,81.41,20.119149981574747,0.003521521460406518
2022-12-05,1639.8,19.75,81.77,20.053809465574172,-0.015149713379680518
2022-12-06,1612.9,19.41,82.42,19.5692793011405,-0.00813925227850465
2022-12-07,1605.5,19.39,82.31,19.50552788239582,-0.005922827779507922
2022-12-08,1620.2,19.58,82.29,19.688905091748694,-0.005531292433033075
2022-12-09,1569.3,18.49,82.46,19.031045355323794,-0.028429618301153536
2022-12-12,1547.2,18.41,82.67,18.71537438006532,-0.016316765770423958
2022-12-13,1572.2,18.73,82.49,19.059279912716693,-0.017276618750795114
2022-12-14,1579.4,18.72,82.5,19.144242424242425,-0.02216031404330765
2022-12-15,1540.5,18.17,82.75,18.61631419939577,-0.023974358974358845
2022-12-16,1522.2,17.73,82.71,18.40406238665216,-0.036625739061884266
2022-12-19,1507.4,17.88,82.65,18.238354506957048,-0.01964840122064493
2022-12-20,1507.3,18.06,82.58,18.252603535965125,-0.010552113049824285
2022-12-21,1509.6,18.22,82.81,18.22968240550658,-0.000531134075251738
2022-12-22,1522.1,17.93,82.93,18.354033522247676,-0.023103015570593133
2022-12-23,1497.1,17.92,82.86,18.06782524740526,-0.008181684590207516
2022-12-27,1514.9,18.03,82.88,18.278233590733592,-0.01358083041784941
2022-12-28,1510.2,17.96,82.74,18.252356780275562,-0.01601748112832735
2022-12-29,1517.6,18.24,82.83,18.32186405891585,-0.004468107538218247
2022-12-30,1508.2,18.01,82.72,18.232591876208897,-0.012208460416390232
2023-01-03,1522.6,18.23,82.86,18.375573256094615,-0.007922106922369498
2023-01-04,1494.8,18.1,82.72,18.070599613152805,0.0016269735081617664
2023-01-05,1475.2,17.68,82.57,17.86605304590045,-0.01041377440347091
2023-01-06,1448.5,17.81,82.72,17.51088007736944,0.01708194684156017
2023-01-09,1484.5,18.0,82.36,18.024526469159788,-0.0013607275176827915
2023-01-10,1469.8,17.83,81.6,18.012254901960784,-0.01011838345353111
2023-01-11,1471.3,18.12,81.6,18.03063725490196,0.0049561612179704895
2023-01-12,1480.6,18.4,81.19,18.2362359896539,0.008980143185195022
2023-01-13,1503.7,18.52,81.31,18.49342024351248,0.0014372547715635342
2023-01-17,1539.5,18.67,81.57,18.873360304033348,-0.0107749918804807
2023-01-18,1545.4,18.75,81.33,19.001598426165007,-0.013240908502653026
2023-01-19,1538.9,18.81,81.28,18.93331692913386,-0.00651322373123675
2023-01-20,1525.6,18.78,80.99,18.836893443635017,-0.0030203198741478587
2023-01-23,1548.0,19.05,81.41,19.014863038938707,0.0018478682170541827
2023-01-24,1551.9,18.9,81.53,19.03471114927021,-0.007077131258457547
2023-01-25,1543.0,18.62,81.49,18.93483863050681,-0.016627478937135343
2023-01-27,1519.2,18.66,81.54,18.631346578366443,0.0015379146919431985
2023-01-30,1538.8,18.69,81.47,18.887934208911254,-0.010479399532102751
2023-01-31,1533.8,18.8,81.69,18.77585995837924,0.001285695657843311
2023-02-01,1551.1,19.02,81.73,18.978343325584238,0.002194958416607662
2023-02-02,1583.8,19.51,82.03,19.307570401072777,0.010484467735825342
2023-02-03,1599.4,19.28,82.21,19.455054129667925,-0.00899787420282605
2023-02-06,1569.9,18.82,82.77,18.967017035157667,-0.007751194343588841
2023-02-07,1562.4,19.03,82.81,18.867286559594252,0.00862410394265245
2023-02-08,1590.5,19.16,82.65,19.24379915305505,-0.004354605469977901
2023-02-09,1617.0,19.34,82.44,19.614264919941775,-0.013982931354359907
2023-02-10,1608.6,19.16,82.47,19.50527464532557,-0.01770160387914943
2023-02-13,1567.5,19.02,82.72,18.949468085106382,0.003722105263157971
2023-02-14,1593.3,19.12,82.86,19.228819695872556,-0.005659197891169199
