date,capital,peak,drawdown
2022-09-26,103094.2945613935,103094.2945613935,0.0
2022-09-27,103094.2945613935,103094.2945613935,0.0
2022-09-28,103094.2945613935,103094.2945613935,0.0
2022-09-29,103094.2945613935,103094.2945613935,0.0
2022-09-30,103094.2945613935,103094.2945613935,0.0
2022-10-03,103094.2945613935,103094.2945613935,0.0
2022-10-04,103094.2945613935,103094.2945613935,0.0
2022-10-06,103094.2945613935,103094.2945613935,0.0
2022-10-07,103094.2945613935,103094.2945613935,0.0
2022-10-10,103094.2945613935,103094.2945613935,0.0
2022-10-11,103094.2945613935,103094.2945613935,0.0
2022-10-12,103094.2945613935,103094.2945613935,0.0
2022-10-13,103094.2945613935,103094.2945613935,0.0
2022-10-14,103094.2945613935,103094.2945613935,0.0
2022-10-17,103389.381042683,103389.381042683,0.0
2022-10-18,103389.381042683,103389.381042683,0.0
2022-10-19,103389.381042683,103389.381042683,0.0
2022-10-20,103389.381042683,103389.381042683,0.0
2022-10-21,103389.381042683,103389.381042683,0.0
2022-10-24,103389.381042683,103389.381042683,0.0
2022-10-25,103389.381042683,103389.381042683,0.0
2022-10-27,103389.381042683,103389.381042683,0.0
2022-10-28,103389.381042683,103389.381042683,0.0
2022-10-31,103389.381042683,103389.381042683,0.0
2022-11-01,103389.381042683,103389.381042683,0.0
2022-11-02,103389.381042683,103389.381042683,0.0
2022-11-03,103389.381042683,103389.381042683,0.0
2022-11-04,103389.381042683,103389.381042683,0.0
2022-11-07,103389.381042683,103389.381042683,0.0
2022-11-09,103389.381042683,103389.381042683,0.0
2022-11-10,103389.381042683,103389.381042683,0.0
2022-11-11,103389.381042683,103389.381042683,0.0
2022-11-14,103680.84342142844,103680.84342142844,0.0
2022-11-15,103680.84342142844,103680.84342142844,0.0
2022-11-16,103680.84342142844,103680.84342142844,0.0
2022-11-17,103680.84342142844,103680.84342142844,0.0
2022-11-18,103680.84342142844,103680.84342142844,0.0
2022-11-21,103680.84342142844,103680.84342142844,0.0
2022-11-22,103680.84342142844,103680.84342142844,0.0
2022-11-23,103680.84342142844,103680.84342142844,0.0
2022-11-25,103680.84342142844,103680.84342142844,0.0
2022-11-28,103680.84342142844,103680.84342142844,0.0
2022-11-29,103680.84342142844,103680.84342142844,0.0
2022-11-30,103680.84342142844,103680.84342142844,0.0
2022-12-01,103680.84342142844,103680.84342142844,0.0
2022-12-02,103680.84342142844,103680.84342142844,0.0
2022-12-05,103680.84342142844,103680.84342142844,0.0
2022-12-06,103680.84342142844,103680.84342142844,0.0
2022-12-07,103680.84342142844,103680.84342142844,0.0
2022-12-08,103680.84342142844,103680.84342142844,0.0
2022-12-09,103680.84342142844,103680.84342142844,0.0
2022-12-12,103680.84342142844,103680.84342142844,0.0
2022-12-13,103680.84342142844,103680.84342142844,0.0
2022-12-14,103680.84342142844,103680.84342142844,0.0
2022-12-15,103680.84342142844,103680.84342142844,0.0
2022-12-16,103680.84342142844,103680.84342142844,0.0
2022-12-19,103680.84342142844,103680.84342142844,0.0
